Fund Name,Scheme Type,Scheme Category,Plan,AUM,TER,PE,PB,Top 3 Holdings,Top 5 Holdings,Top 10 Holdings,Sharpe,Sortino,St Dev,Inception,Age in yrs,Score
Higher/lower,,,,higher,lower,lower,lower,lower,lower,lower,higher,higher,lower,higher,higher,
WOC Banking & Financial Services Fund,Equity Scheme,Sectoral Fund - Banks & Financial Services,Growth,568.5683,0.67,19.1647,2.48,32.19551635,45.02201407,64.59187049,1.09057869,0.1198,13.61429544,0,2.166666667,3731.987347
HDFC NIFTY Midcap 150 Index Fund,Equity Scheme,Index Fund,Growth,482.8178,0.3,29.9099,3.78,6.898710031,10.24663962,17.86255602,0.798487746,0.0833,14.87480402,0,3,3721.254635
Union Business Cycle Fund,Equity Scheme,Thematic Fund,IDCW,519.3277,1.55,32.3956,4.08,14.16336929,22.44842707,36.74385171,0.815949704,0.0888,13.82159109,0,2.083333333,3718.790908
Union Business Cycle Fund,Equity Scheme,Thematic Fund,Growth,519.3277,1.55,32.3956,4.08,14.16336929,22.44842707,36.74385171,0.815949704,0.0888,13.82159109,0,2.083333333,3718.790908
Axis Nifty Smallcap 50 Index Fund,Equity Scheme,Index Fund,Growth,522.585402,0.27,31.4542,3.36,18.3371315,24.88000947,38.08811019,0.290503494,0.03,14.87480402,0,4.083333333,3698.258192
Axis Nifty Smallcap 50 Index Fund,Equity Scheme,Index Fund,IDCW,522.585402,0.27,31.4542,3.36,18.3371315,24.88000947,38.08811019,0.290503494,0.03,14.87480402,0,4.083333333,3698.258192
Aditya Birla SL Nifty 50 Equal Weight Index Fund,Equity Scheme,Index Fund,IDCW,468.9234,0.42,19.7332,3.41,7.394960456,12.07015901,23.27181796,0.80801245,0.0902,14.87480402,0,4.833333333,3616.638918
Aditya Birla SL Nifty 50 Equal Weight Index Fund,Equity Scheme,Index Fund,Growth,468.9234,0.42,19.7332,3.41,7.394960456,12.07015901,23.27181796,0.80801245,0.0902,14.87480402,0,4.833333333,3616.638918
HDFC MNC Fund,Equity Scheme,Thematic Fund - MNC,Growth,551.2148,1.26,33.6983,6.07,23.23205037,37.14606357,62.9005063,0.574657185,0.0601,11.32589442,0,3.083333333,3609.130913
HDFC MNC Fund,Equity Scheme,Thematic Fund - MNC,IDCW,551.2148,1.26,33.6983,6.07,23.23205037,37.14606357,62.9005063,0.574657185,0.0601,11.32589442,0,3.083333333,3609.130913
ITI Large Cap Fund,Equity Scheme,Large Cap Fund,IDCW,510.0765,0.52,23.2938,3.15,19.96012363,28.49672549,44.56868725,0.327014862,0.035,11.76201976,0,5.333333333,3583.386321
ITI Large Cap Fund,Equity Scheme,Large Cap Fund,Growth,510.0765,0.52,23.2938,3.15,19.96012363,28.49672549,44.56868725,0.327014862,0.035,11.76201976,0,5.333333333,3583.386321
Mahindra Manulife Consumption Fund,Equity Scheme,Sectoral Fund - Consumption,Growth,513.2743,0.66,34.818,5.92,17.58478848,26.2738072,42.66849129,0.206368602,0.022,12.17670215,0,7.416666667,3567.680547
Mahindra Manulife Consumption Fund,Equity Scheme,Sectoral Fund - Consumption,IDCW,513.2743,0.66,34.818,5.92,17.58478848,26.2738072,42.66849129,0.206368602,0.022,12.17670215,0,7.416666667,3567.680547
Bandhan Nifty Alpha 50 Index Fund,Equity Scheme,Index Fund,Growth,497.8073,0.34,30.6266,3.84,13.18558514,20.89696325,37.18953402,0.401625049,0.0416,14.87480402,0,2.416666667,3550.878114
Bandhan Nifty Alpha 50 Index Fund,Equity Scheme,Index Fund,IDCW,497.8073,0.34,30.6266,3.84,13.18558514,20.89696325,37.18953402,0.401625049,0.0415,14.87480402,0,2.416666667,3550.876814
LIC MF Consumption Fund,Equity Scheme,Sectoral Fund - Consumption,IDCW,494.9597,0.75,28.1596,6.04,13.75362479,19.05732931,30.40037401,-2.873285924,-0.2605,12.17670215,0,0.416666667,3549.5567
LIC MF Consumption Fund,Equity Scheme,Sectoral Fund - Consumption,Growth,494.9597,0.75,28.1596,6.04,13.75362479,19.05732931,30.40037401,-2.873285924,-0.2605,12.17670215,0,0.416666667,3549.5567
Invesco India Consumption Fund,Equity Scheme,Sectoral Fund - Consumption,Growth,523.4763,0.69,61.5209,7.97,13.23796321,21.16491234,37.70718942,-2.419274999,-0.2348,12.17670215,0,0.5,3496.018036
Invesco India Consumption Fund,Equity Scheme,Sectoral Fund - Consumption,IDCW,523.4763,0.69,61.5209,7.97,13.23796321,21.16491234,37.70718942,-2.424037351,-0.2346,12.17670215,0,0.5,3495.949201
Kotak Transportation & Logistics Fund,Equity Scheme,Thematic Fund,Growth,542.4852,0.83,33.1056,4.68,28.00404509,38.7163742,62.04464196,1.247736318,0.1388,13.82159109,0,1.333333333,3483.899902
Kotak Transportation & Logistics Fund,Equity Scheme,Thematic Fund,IDCW,542.4852,0.83,33.1056,4.68,28.00404509,38.7163742,62.04464196,1.247736318,0.1386,13.82159109,0,1.333333333,3483.897302
Franklin India Multi-Factor Fund,Equity Scheme,Thematic Fund,IDCW,487.6204456,0.67,17.3059,2.88,17.37104991,25.93994131,37.93490097,-1.606500196,-0.1537,13.82159109,0,0.416666667,3443.548983
Franklin India Multi-Factor Fund,Equity Scheme,Thematic Fund,Growth,487.6204456,0.67,17.3059,2.88,17.37104991,25.93994131,37.93490097,-1.606500196,-0.1537,13.82159109,0,0.416666667,3443.548983
